ID,First_Name,Last_Name,Grade,Expected_Graduation,Gender,School,Flag_FosterCare,Flag_EnglishLanguageLearner
1001,Ella,Kim,11,2026,F,Green HS,0,1
1002,Sophia,Taylor,12,2025,F,Wood HS,1,1
1003,Noah,Moore,9,2028,F,Green HS,1,0
1004,Xander,Brown,9,2028,M,Wood HS,1,0
1005,Ella,Jones,10,2027,F,Green HS,1,1
1006,Uma,Patel,12,2025,M,Green HS,0,1
1007,Brian,Garcia,12,2025,F,Green HS,0,1
1008,Liam,Lee,12,2025,F,Wood HS,0,0
1009,Alicia,Jones,12,2025,F,Green HS,1,0
1010,Daniel,Miller,9,2028,F,Wood HS,0,1
1011,Henry,Smith,12,2025,F,Unified HS,0,0
1012,Brian,Davis,9,2028,F,Wood HS,0,0
1013,Olivia,Johnson,11,2026,M,Unified HS,0,0
1014,Jack,Martinez,10,2027,M,Wood HS,0,0
1015,Victor,Johnson,11,2026,F,Unified HS,0,1
1016,Uma,Hernandez,11,2026,F,Green HS,0,0
1017,Grace,Wilson,10,2027,F,Wood HS,1,0
1018,Grace,Thomas,11,2026,F,Green HS,0,0
1019,Zane,Taylor,10,2027,M,Unified HS,1,0
1020,Quinn,Johnson,9,2028,M,Green HS,1,0
1021,Grace,Kim,12,2025,M,Unified HS,0,0
1022,Quinn,Garcia,10,2027,F,Green HS,0,1
1023,Brian,Anderson,9,2028,M,Wood HS,0,1
1024,Maya,Thomas,9,2028,M,Unified HS,0,1
1025,Jack,Williams,11,2026,F,Green HS,0,0
1026,Noah,Smith,10,2027,M,Green HS,1,0
1027,Ryan,Lee,12,2025,F,Unified HS,1,0
1028,Wendy,Jones,9,2028,F,Wood HS,1,1
1029,Xander,Brown,10,2027,M,Wood HS,1,0
1030,Alicia,Miller,10,2027,F,Unified HS,1,1
1031,Isabel,Taylor,10,2027,M,Wood HS,1,0
1032,Maya,Miller,10,2027,M,Wood HS,1,1
1033,Ryan,Taylor,10,2027,F,Unified HS,1,1
1034,Henry,Taylor,10,2027,M,Green HS,0,1
1035,Sophia,Jones,11,2026,M,Green HS,1,0
1036,Sophia,Patel,10,2027,M,Wood HS,1,1
1037,Henry,Williams,9,2028,M,Green HS,0,1
1038,Quinn,Taylor,12,2025,F,Unified HS,1,1
1039,Quinn,Brown,10,2027,M,Green HS,0,1
1040,Sophia,Patel,11,2026,F,Wood HS,0,1
1041,Jack,Anderson,11,2026,F,Green HS,0,1
1042,Henry,Moore,9,2028,F,Green HS,0,1
1043,Paul,Lopez,12,2025,F,Wood HS,1,1
1044,Liam,Davis,12,2025,F,Green HS,0,0
1045,Liam,Lee,12,2025,F,Wood HS,0,0
1046,Xander,Moore,11,2026,M,Wood HS,0,0
1047,Carla,Miller,9,2028,M,Unified HS,1,1
1048,Tyler,Jones,11,2026,M,Unified HS,0,1
1049,Kara,Jones,11,2026,F,Green HS,0,1
1050,Victor,Lopez,12,2025,M,Unified HS,1,1
